,Node1,Node2
368,KCNJ11,JAZF1
369,KCNJ11,PPARG
370,KCNJ11,NEUROD1
371,KCNJ11,ABCC8
372,KCNJ11,IRS1
373,KCNJ11,PRKACA
374,KCNJ11,SIK1
375,KCNJ11,HNF4A
376,KCNJ11,WDTC1
377,KCNJ11,KCND3
378,KCNJ11,SLC2A2
379,KCNJ11,RFX6
380,KCNJ11,PAX4
381,KCNJ11,KCNJ11
382,KCNJ11,MEFV
383,KCNJ11,GCFC2
384,KCNJ11,GSG2
385,KCNJ11,ANK2
386,KCNJ11,TCF7L2
387,KCNJ11,PRKACB
388,KCNJ11,XIAP
389,KCNJ11,PRKACG
390,KCNJ11,PDX1
391,KCNJ11,GART
392,KCNJ11,IGF2BP2
393,KCNJ11,SLC35G5
394,KCNJ11,TSPAN8
395,KCNJ11,RAPGEF4
396,KCNJ11,INS
397,KCNJ11,THADA
398,KCNJ11,GCG
399,KCNJ11,RAPGEF3
400,KCNJ11,DIABLO
401,KCNJ11,FOXA2
402,KCNJ11,SLC30A8
403,KCNJ11,ADAMTS9
404,KCNJ11,FTO
405,KCNJ11,NAIP
406,KCNJ11,CAMK1D
407,KCNJ11,KIZ
408,IGF2BP2,WFS1
409,IGF2BP2,KCNQ1
410,IGF2BP2,ZBED3
411,IGF2BP2,NOTCH2
412,IGF2BP2,MTNR1B
413,IGF2BP2,ZFAND6
414,IGF2BP2,CDKAL1
415,IGF2BP2,KIF11
416,IGF2BP2,CDKN2B
417,IGF2BP2,CDC123
418,IGF2BP2,HHEX
419,IGF2BP2,JAZF1
420,IGF2BP2,PPARG
421,IGF2BP2,IGF2BP1
422,IGF2BP2,FUS
423,IGF2BP2,IRS1
424,IGF2BP2,AGMO
425,IGF2BP2,LIN28B
426,IGF2BP2,KCNJ11
427,IGF2BP2,C2CD4A
428,IGF2BP2,TIAL1
429,IGF2BP2,TCF7L2
430,IGF2BP2,ADAM30
431,IGF2BP2,C2CD4B
432,IGF2BP2,IGF2BP2
433,IGF2BP2,WRAP73
434,IGF2BP2,PCSK4
435,IGF2BP2,VAPA
436,IGF2BP2,PTRF
437,IGF2BP2,PABPC4
438,IGF2BP2,RPS6KA3
439,IGF2BP2,CAPN10
440,IGF2BP2,TSPAN8
441,IGF2BP2,ARAP1
442,IGF2BP2,EXT2
443,IGF2BP2,INS
444,IGF2BP2,AKAP12
445,IGF2BP2,THADA
446,IGF2BP2,FHL2
447,IGF2BP2,IGF2
448,IGF2BP2,SLC30A8
449,IGF2BP2,ADAMTS9
450,IGF2BP2,FTO
451,IGF2BP2,CDKN2A
452,IGF2BP2,RAB9A
453,IGF2BP2,TDRP
454,IGF2BP2,HMGA2
455,IGF2BP2,NNMT
456,IGF2BP2,KLF14
457,IGF2BP2,CAMK1D
458,IGF2BP2,HNF1B
459,IRS1,RPS6KB1
460,IRS1,MAPK1
461,IRS1,IL4
462,IRS1,NCK2
463,IRS1,PIK3R2
464,IRS1,KRAS
465,IRS1,PIK3R3
466,IRS1,MAPK3
467,IRS1,PIK3CA
468,IRS1,CBL
469,IRS1,IGF1R
470,IRS1,PIK3CB
471,IRS1,CRK
472,IRS1,IGF1
473,IRS1,INSR
474,IRS1,IRS1
475,IRS1,RPTOR
476,IRS1,RPS6KB2
477,IRS1,LEP
478,IRS1,SOCS1
479,IRS1,SOCS3
480,IRS1,CAV1
481,IRS1,PTPN11
482,IRS1,JAK1
483,IRS1,MAPK10
484,IRS1,MTOR
485,IRS1,PTPN1
486,IRS1,SRC
487,IRS1,IRS2
488,IRS1,PRKCZ
489,IRS1,JAK2
490,IRS1,GRB2
491,IRS1,PRKCD
492,IRS1,MAPK8
493,IRS1,IL4R
494,IRS1,INS
495,IRS1,GRB10
496,IRS1,PTPN6
497,IRS1,JAK3
498,IRS1,IGF2
499,IRS1,MAPK9
500,IRS1,SHC1
501,IRS1,HRAS
502,IRS1,PIK3R1
503,IRS1,IKBKB
504,IRS1,NTRK1
505,IRS1,SH2B2
506,IRS1,AKT1
507,IRS1,ITGB3
508,IRS1,MLST8
509,IRS1,GHR
510,TCF7L2,SKP1
511,TCF7L2,TBL1X
512,TCF7L2,CCND1
513,TCF7L2,BCL9
514,TCF7L2,SOX4
515,TCF7L2,APC
516,TCF7L2,AXIN1
517,TCF7L2,CREBBP
518,TCF7L2,EP300
519,TCF7L2,HBP1
520,TCF7L2,LEF1
521,TCF7L2,HIST1H2BA
522,TCF7L2,CTBP1
523,TCF7L2,H2AFZ
524,TCF7L2,SOX17
525,TCF7L2,AXIN2
526,TCF7L2,FOS
527,TCF7L2,H2AFV
528,TCF7L2,TERT
529,TCF7L2,CTBP2
530,TCF7L2,DVL3
531,TCF7L2,CUL1
532,TCF7L2,BCL9L
533,TCF7L2,MEN1
534,TCF7L2,KAT5
535,TCF7L2,SMAD4
536,TCF7L2,CTNNB1
537,TCF7L2,TRRAP
538,TCF7L2,SOX13
539,TCF7L2,CDC73
540,TCF7L2,PYGO2
541,TCF7L2,TCF7L2
542,TCF7L2,BTRC
543,TCF7L2,JUN
544,TCF7L2,HDAC1
545,TCF7L2,KLF4
546,TCF7L2,AR
547,TCF7L2,TLE1
548,TCF7L2,TLE4
549,TCF7L2,JUP
550,TCF7L2,RUNX3
551,TCF7L2,NLK
552,TCF7L2,GCG
553,TCF7L2,SMARCA4
554,TCF7L2,TNIK
555,TCF7L2,TBL1XR1
556,TCF7L2,HDAC2
557,TCF7L2,TLE3
558,TCF7L2,TLE2
559,TCF7L2,RUVBL2
560,TCF7L2,MYC
561,KCNQ1,SNTA1
562,KCNQ1,KCNQ1
563,KCNQ1,KCNJ13
564,KCNQ1,KCNJ2
565,KCNQ1,ADCY3
566,KCNQ1,HCN4
567,KCNQ1,KCNH2
568,KCNQ1,SLC12A2
569,KCNQ1,KCNN4
570,KCNQ1,KCNQ4
571,KCNQ1,CACNA1C
572,KCNQ1,CALM2
573,KCNQ1,CDKAL1
574,KCNQ1,CDC123
575,KCNQ1,KCNE4
576,KCNQ1,KCNE2
577,KCNQ1,CALM3
578,KCNQ1,ADCY9
579,KCNQ1,KCNAB3
580,KCNQ1,KCNJ4
581,KCNQ1,PRKACA
582,KCNQ1,KCNE3
583,KCNQ1,PHLDA2
584,KCNQ1,ASCL2
585,KCNQ1,KCNE1
586,KCNQ1,KCNQ5
587,KCNQ1,KCNJ11
588,KCNQ1,AKAP9
589,KCNQ1,IGF2R
590,KCNQ1,CALM1
591,KCNQ1,ANK2
592,KCNQ1,KCNQ2
593,KCNQ1,KCNK5
594,KCNQ1,NOS1AP
595,KCNQ1,KCNJ10
596,KCNQ1,TCF7L2
597,KCNQ1,PRKACB
598,KCNQ1,KCNE1L
599,KCNQ1,PRKACG
600,KCNQ1,KCNAB2
601,KCNQ1,IGF2BP2
602,KCNQ1,KCNQ3
603,KCNQ1,KCNJ14
604,KCNQ1,NEDD4L
605,KCNQ1,SCN5A
606,KCNQ1,CDKN1C
607,KCNQ1,KCNAB1
608,KCNQ1,KCNIP2
609,KCNQ1,SLC22A18AS
610,KCNQ1,FAU
611,KCNQ1,KCNJ12
612,SLC30A8,WFS1
613,SLC30A8,KCNQ1
614,SLC30A8,NOTCH2
615,SLC30A8,MTNR1B
616,SLC30A8,SLC39A5
617,SLC30A8,SLC30A9
618,SLC30A8,SLC39A6
619,SLC30A8,CDKAL1
620,SLC30A8,KIF11
621,SLC30A8,CDC123
622,SLC30A8,HHEX
623,SLC30A8,JAZF1
624,SLC30A8,PPARG
625,SLC30A8,PTPRN
626,SLC30A8,PCSK2
627,SLC30A8,SLC39A2
628,SLC30A8,SLC39A4
629,SLC30A8,ABCC8
630,SLC30A8,INSM2
631,SLC30A8,PCSK1
632,SLC30A8,SLC2A2
633,SLC30A8,SLC39A9
634,SLC30A8,AGMO
635,SLC30A8,KCNJ11
636,SLC30A8,SLC39A14
637,SLC30A8,SLC39A13
638,SLC30A8,SLC39A1
639,SLC30A8,TCF7L2
640,SLC30A8,SLC39A7
641,SLC30A8,G6PC2
642,SLC30A8,GAD2
643,SLC30A8,SLC39A12
644,SLC30A8,SLC30A6
645,SLC30A8,C2CD4B
646,SLC30A8,GLIS3
647,SLC30A8,IGF2BP2
648,SLC30A8,LAD1
649,SLC30A8,TSPAN8
650,SLC30A8,ARAP1
651,SLC30A8,SLC39A8
652,SLC30A8,INS
653,SLC30A8,DGKB
654,SLC30A8,THADA
655,SLC30A8,SLC39A10
656,SLC30A8,GCG
657,SLC30A8,SLC30A8
658,SLC30A8,ADAMTS9
659,SLC30A8,FTO
660,SLC30A8,CDKN2A
661,SLC30A8,SLC39A11
662,SLC30A8,CAMK1D
663,VEGFA,MMP2
664,VEGFA,TIMP1
665,VEGFA,TGFB1
666,VEGFA,HGF
667,VEGFA,SERPINE1
668,VEGFA,VTN
669,VEGFA,SPARC
670,VEGFA,THBS1
671,VEGFA,VWF
672,VEGFA,PDGFRB
673,VEGFA,FLT4
674,VEGFA,EP300
675,VEGFA,VHL
676,VEGFA,EPAS1
677,VEGFA,KDR
678,VEGFA,GPC1
679,VEGFA,FGF2
680,VEGFA,STAT3
681,VEGFA,KNG1
682,VEGFA,EGF
683,VEGFA,NRP1
684,VEGFA,EGFR
685,VEGFA,FLT1
686,VEGFA,ALB
687,VEGFA,PF4
688,VEGFA,NOS3
689,VEGFA,IGF1
690,VEGFA,PLG
691,VEGFA,VEGFB
692,VEGFA,CLU
693,VEGFA,PDGFB
694,VEGFA,HSP90AA1
695,VEGFA,PTK2
696,VEGFA,CDH5
697,VEGFA,CTNNB1
698,VEGFA,FN1
699,VEGFA,ARNT
700,VEGFA,NRP2
701,VEGFA,JUN
702,VEGFA,MMP9
703,VEGFA,SRC
704,VEGFA,TEK
705,VEGFA,TMSB4X
706,VEGFA,CDC42
707,VEGFA,IL6
708,VEGFA,CREB1
709,VEGFA,IGF2
710,VEGFA,RHOA
711,VEGFA,HIF1A
712,VEGFA,AKT1
713,VEGFA,VEGFA
714,PPARG,NFKB1
715,PPARG,SIRT1
716,PPARG,TGFB1
717,PPARG,EGR1
718,PPARG,CREBBP
719,PPARG,PIAS1
720,PPARG,FABP4
721,PPARG,EP300
722,PPARG,PAX8
723,PPARG,ATF2
724,PPARG,PPARGC1A
725,PPARG,RB1
726,PPARG,NCOR1
727,PPARG,TP53
728,PPARG,PPARG
729,PPARG,PLIN1
730,PPARG,MED1
731,PPARG,ANGPTL4
732,PPARG,HDAC3
733,PPARG,CEBPB
734,PPARG,FOS
735,PPARG,LPL
736,PPARG,LEP
737,PPARG,PCK1
738,PPARG,EZH2
739,PPARG,SLC2A4
740,PPARG,MED14
741,PPARG,UBE2I
742,PPARG,RXRG
743,PPARG,SREBF2
744,PPARG,HSD11B1
745,PPARG,JUN
746,PPARG,NCOA3
747,PPARG,HDAC1
748,PPARG,RXRB
749,PPARG,KLF5
750,PPARG,MED24
751,PPARG,INS
752,PPARG,NCOR2
753,PPARG,RELA
754,PPARG,NCOA1
755,PPARG,CEBPD
756,PPARG,NFATC1
757,PPARG,ADIPOQ
758,PPARG,TNF
759,PPARG,CD36
760,PPARG,NCOA2
761,PPARG,HELZ2
762,PPARG,RXRA
763,PPARG,CEBPA
764,PPARG,FAM120B
765,THADA,WFS1
766,THADA,KCNQ1
767,THADA,KRR1
768,THADA,TRMT6
769,THADA,DDX55
770,THADA,FTSJ2
771,THADA,NOTCH2
772,THADA,MTNR1B
773,THADA,POLR1A
