,TF,Target,Mode of Regulation,References
3931,MEF2A,JUN,Unknown,10403485
3945,MEF2C,JUN,Activation,10523670;12054430
3946,MEF2C,JUN,Repression,10523670
3947,MEF2C,JUN,Unknown,10849446
3954,MEF2D,ATM,Unknown,24672010
3957,MEF2D,JUN,Activation,12054430
3959,MEIS1,AR,Unknown,25158280
3964,MEN1,BRCA1,Unknown,23648481
3969,MEN1,GATA3,Unknown,20484083
3986,MITF,HIF1A,Activation,22012259
4043,MSX2,NKX3-1,Activation,22848398
4049,MTA1,BRCA1,Unknown,17922032
4054,MTA1,ESR1,Repression,24413532
4055,MTA1,ESR1,Unknown,11146623
4056,MTA1,HDAC1,Unknown,23791785
4061,MTA1,MYC,Unknown,12431981
4088,MXI1,MYC,Repression,8838813
4107,MYB,GATA3,Unknown,20484083
4119,MYB,MYC,Activation,1594249
4120,MYB,MYC,Unknown,11259163;16088151;19609274
4127,MYB,SP3,Unknown,18342022
4130,MYB,WT1,Activation,18064385
4138,MYBL2,MYC,Activation,1594249
4141,MYBL2,SP1,Unknown,14613485
4177,MYC,CREBBP,Unknown,12776737
4184,MYC,EP300,Unknown,12776737
4188,MYC,FOXM1,Activation,20658516
4193,MYC,HDAC2,Activation,20697349
4210,MYC,JUNB,Repression,18838534
4247,MYC,TP53,Activation,8494784
4248,MYC,TP53,Unknown,19086036
4271,MYCN,HDAC2,Activation,20697349
4302,MYCN,TP53,Activation,19885598;21862876
4303,MYCN,TP53,Repression,21862876
4332,NANOG,GATA2,Repression,15983365
4337,NANOG,KLF2,Activation,22378194
4349,NCOA2,AR,Repression,17079484
4351,NCOA3,BRCA1,Unknown,21914189
4357,NCOA4,AR,Activation,16110473
4358,NCOA4,AR,Unknown,18156210
4365,NCOR1,AR,Activation,21720703
4366,NCOR1,AR,Unknown,16373395
4367,NCOR1,ESR1,Repression,20101232
4371,NCOR1,PPARG,Repression,20462215
4373,NCOR2,AR,Activation,21720703
4374,NCOR2,AR,Unknown,16373395
4396,NF1,MYC,Activation,9562250
4400,NF1,SP3,Unknown,18342022
4401,NF1,TP53,Activation,10634504;8816507
4413,NFATC1,SP1,Repression,21603612
4429,NFE2L2,BRCA1,Activation,23353771
4477,NFIC,JUN,Unknown,10403485
4491,NFIL3,PGR,Unknown,1620116
4513,NFKB1,AR,Repression,15517885
4514,NFKB1,AR,Unknown,16619263
4529,NFKB1,BCL3,Activation,11387332
4637,NFKB1,E2F1,Unknown,16725311
4642,NFKB1,EGR1,Repression,21983014
4662,NFKB1,FOXO3,Unknown,19299143
4665,NFKB1,GATA3,Activation,20660789
4677,NFKB1,HDAC1,Unknown,23027620
4680,NFKB1,HIF1A,Unknown,18498249
4727,NFKB1,JUNB,Activation,17018379
4758,NFKB1,MYC,Activation,17018379
4759,NFKB1,MYC,Repression,18566231
4760,NFKB1,MYC,Unknown,11114727;12894581;17673602;17944672;18184402;19469019;19766095;21790895
4763,NFKB1,NCOR1,Unknown,17876798
4765,NFKB1,NFKB1,Unknown,19469019
4874,NFKB1,TP53,Unknown,10348347;11032029
4890,NFKB1,WT1,Unknown,11243407
4894,NFKB1,YY1,Repression,16784892
4895,NFKB1,YY1,Unknown,17438126
4899,NFKB2,HIF1A,Repression,19414801
4914,NFKBIA,NFKB1,Activation,9500973
4915,NFKBIA,NFKB1,Repression,11278471;18606063;20173029
4916,NFKBIA,NFKB1,Unknown,15713458;17148610
4919,NFKBIA,RELA,Activation,9500973
4920,NFKBIA,RELA,Repression,11278471;18606063;20173029
4921,NFKBIA,RELA,Unknown,15713458;17148610
4927,NFRKB,JUN,Activation,22291976
4941,NFYA,HOXB7,Unknown,12697323
