,TF,Target
5467,PIAS3,ESR1
5469,PIAS3,STAT3
5471,PIAS4,VDR
5472,PIR,NFKB1
5480,PITX1,JUN
5482,PITX1,NKX3-1
5484,PITX1,RUNX1
5485,PITX1,RUNX2
5524,PML,EP300
5528,PML,HIPK2
5531,PML,PML
5534,PML,TP53
5536,POLR1A,E2F1
5550,POU1F1,VDR
5556,POU2F1,AR
5686,PPARA,SREBF2
5748,PPARG,KLF4
5752,PPARG,MYC
5777,PPARG,TP53
5795,PRDM1,MYC
5822,PTTG1,ID3
5825,PTTG1,MYC
5826,PTTG1,MYC
5833,PURA,AR
5837,RAD51,SP1
5850,RARA,HNF4A
5876,RB1,BRCA1
5884,RB1,E2F1
5885,RB1,E2F1
5887,RB1,E2F3
5896,RB1,MYC
5897,RB1,MYC
5899,RB1,PPARG
5900,RB1,RB1
5903,RB1,SP1
5910,RB1CC1,RB1
5911,RB1CC1,RB1
5913,RBL1,BRCA1
5916,RBL1,MYC
5918,RBL2,BRCA1
5920,RBL2,E2F4
5922,RBMX,EGR1
5925,RBMX,JUNB
5933,RBPJ,NFKB1
5971,RELA,AR
5972,RELA,AR
5986,RELA,BCL3
6092,RELA,E2F1
6096,RELA,EGR1
6098,RELA,EPAS1
6117,RELA,FOXO3
6121,RELA,GATA3
6132,RELA,HDAC1
6135,RELA,HIF1A
6179,RELA,JUNB
6210,RELA,MYC
6211,RELA,MYC
6212,RELA,MYC
6215,RELA,NCOR1
6217,RELA,NFKB1
6218,RELA,NFKB1
6240,RELA,PGR
6280,RELA,SIRT1
6288,RELA,STAT1
6289,RELA,STAT3
6327,RELA,TP53
6333,RELA,TRIB3
6345,RELA,WT1
6349,RELA,YY1
6350,RELA,YY1
6355,REST,AR
6379,REST,STAT1
6397,RFX1,HDAC1
6406,RFX1,MYC
6414,RFX5,HDAC2
6463,RORA,E2F1
6488,RUNX1,JUN
6489,RUNX1,KLF4
6501,RUNX1,NFKB1
6507,RUNX1,RELA
6514,RUNX2,AR
6516,RUNX2,ESR1
6557,RUNX3,MYC
6559,RUNX3,RUNX1
6560,RUNX3,RUNX1
6561,RUNX3,TCF4
6564,RUNX3,TRAF6
6567,RUVBL1,TP53
6577,RXRA,HNF1A
6578,RXRA,HNF4A
6606,SATB1,GATA3
6608,SATB1,HDAC1
6654,SIN3A,E2F1
6673,SIRT1,FOXO3
6676,SIRT1,HIC1
6677,SIRT1,HIF1A
6687,SIRT1,MYC
6694,SIRT1,PPARG
6701,SIRT1,TP53
6702,SIRT1,TP53
6709,SIRT3,FOXO3
6738,SMAD3,FOXA2
6743,SMAD3,JUN
6747,SMAD3,MYC
6758,SMAD3,VDR
6760,SMAD3,ZFP36
6776,SMAD4,JUN
6777,SMAD4,MYC
6786,SMAD4,ZFP36
6793,SMAD7,MYC
6810,SMURF2,KLF5
6821,SNAI1,VDR
6836,SNAI2,VDR
6839,SNIP1,MYC
6842,SNW1,VDR
6863,SOX17,HNF4A
6897,SOX4,NKX3-1
6904,SOX6,TP53
6907,SOX9,AR
6921,SOX9,KLF4
6977,SP1,AR
6978,SP1,AR
6983,SP1,ATM
6999,SP1,BRCA1
7097,SP1,DNMT1
7098,SP1,DNMT1
7099,SP1,DNMT1
7104,SP1,E2F1
7111,SP1,EGR1
7112,SP1,EGR1
7121,SP1,ESR1
7144,SP1,FOXM1
7150,SP1,GATA3
7168,SP1,HDAC4
7174,SP1,HMGA2
7175,SP1,HNF4A
7176,SP1,HOXB7
7283,SP1,MTA1
7291,SP1,MYC
7298,SP1,NFKB1
7329,SP1,PGR
7362,SP1,PTTG1
7363,SP1,PTTG1
7370,SP1,RELA
7371,SP1,RELA
7384,SP1,SIRT1
7415,SP1,SP3
7421,SP1,SREBF1
7422,SP1,SREBF1
7479,SP1,VDR
7487,SP1,WT1
7490,SP1,YY1
7557,SP3,HDAC4
7559,SP3,HMGA2
7560,SP3,HOXB7
7588,SP3,NFKB1
7599,SP3,RELA
7620,SP3,YY1
7629,SP4,NFKB1
7631,SP4,RELA
7632,SP4,YY1
7710,SPI1,STAT3
7726,SREBF1,AR
7748,SREBF1,PPARG
7762,SREBF2,HNF4A
7772,SREBF2,PPARG
7801,SRSF1,MYC
7802,SRSF1,NFKB1
7885,STAT1,NR1H4
7889,STAT1,PML
7890,STAT1,PML
7901,STAT1,STAT3
7907,STAT1,TP53
7908,STAT1,TP53
7917,STAT2,PML
7922,STAT2,STAT1
7927,STAT3,AR
7955,STAT3,COPS5
7966,STAT3,DNMT1
7967,STAT3,DNMT1
7969,STAT3,EPAS1
7970,STAT3,ESR2
7992,STAT3,HIF1A
7993,STAT3,HIF1A
8016,STAT3,JUNB
8042,STAT3,MYC
8043,STAT3,MYC
8044,STAT3,MYC
8083,STAT3,STAT1
8091,STAT3,TP53
8101,STAT3,VDR
8107,STAT3,ZFP36
8111,STAT4,MYC
8127,STAT5A,ESR1
8130,STAT5A,SP1
8137,STAT5B,ESR1
8138,STAT5B,ESR2
8181,STAT6,STAT1
8189,TAF1,AR
8205,TAL1,NFKB1
8208,TBL1X,MYC
8215,TBP,E2F1
8221,TBP,MYC
8233,TBX21,GATA3
8242,TBX21,YY1
8264,TCF3,MYC
8265,TCF3,MYC
8280,TCF4,JUN
8281,TCF4,KLF4
8284,TCF4,MYC
8285,TCF4,MYC
8300,TCF7L2,GATA3
8307,TCF7L2,STAT3
8408,TFAP2C,ESR1
8428,TFCP2,WT1
8438,TFDP1,TP53
8440,TFDP3,E2F1
8454,TLE3,RUNX1
8457,TLX1,MYC
8458,TLX1,NR4A3
8460,TNFAIP3,JUN
8461,TNFAIP3,NFKB1
8462,TNFAIP3,NFKB1
8463,TNFAIP3,RELA
8464,TNFAIP3,RELA
8467,TOP2B,RUNX1
8489,TP53,BCL3
8494,TP53,BRCA1
8495,TP53,BRCA1
8533,TP53,DNMT1
8534,TP53,DNMT1
8535,TP53,DNMT1
8537,TP53,E2F1
8538,TP53,E2F3
8541,TP53,EGR1
8544,TP53,ESR1
8553,TP53,FOXM1
8554,TP53,FOXO3
8567,TP53,HIPK2
8568,TP53,HNF4A
8582,TP53,KLF2
8598,TP53,MYC
8599,TP53,MYC
8600,TP53,NFKB1
8601,TP53,NKX3-1
8615,TP53,PML
8625,TP53,PTTG1
8626,TP53,PTTG1
8629,TP53,RB1
8632,TP53,RELA
8641,TP53,SMAD3
8643,TP53,STAT1
8644,TP53,STAT3
8654,TP53,TP53
8655,TP53,TP53
8661,TP53,UHRF1
8669,TP53BP1,BRCA1
8670,TP53BP1,BRCA1
8672,TP63,BRCA1
8679,TP63,KLF4
8682,TP63,TCF4
8683,TP63,VDR
8684,TP63,VDR
8696,TP73,E2F1
8701,TP73,VDR
8712,TRIB3,ATF4
8713,TRIB3,SMAD3
8715,TRIM16,E2F1
8717,TRIM22,NFKB1
8718,TRIM22,RELA
8720,TRIM28,E2F3
8721,TRIM28,E2F4
8726,TRPS1,RUNX2
8733,TSC22D3,FOXO3
8739,TTF2,TSG101
8742,TWIST1,ATM
8753,TWIST1,ESR1
8772,TWIST1,RUNX2
8773,TWIST1,RUNX2
8776,TWIST1,YBX1
8777,TWIST1,YBX1
8779,TWIST2,ATM
8802,TWIST2,RUNX2
8803,TWIST2,RUNX2
8808,UHRF1,PPARG
8809,UHRF1,RB1
8815,URI1,AR
8844,USF1,FOXA2
8850,USF1,HOXB7
8857,USF1,NFKB1
8869,USF1,RELA
8900,USF2,BRCA1
8911,USF2,EPAS1
8916,USF2,HIF1A
8984,VDR,NCOR1
8998,VHL,AR
9007,VHL,HIF1A
9008,VHL,HIF1A
9010,VHL,KLF10
9014,VHL,TCF4
9016,VHL,TP53
9020,WDR5,MYC
9021,WHSC1,AR
9025,WT1,AR
9056,WT1,JUN
9057,WT1,JUNB
9060,WT1,MYC
9061,WT1,MYC
9072,WT1,SMAD3
9082,WT1,VDR
9083,WT1,VDR
9096,WWTR1,SMAD3
9103,XBP1,ESR1
9131,YBX1,AR
9139,YBX1,E2F1
9159,YEATS4,TP53
9166,YY1,BRCA1
9176,YY1,CREBBP
9177,YY1,CREBBP
9186,YY1,EPAS1
9202,YY1,HDAC1
9203,YY1,HDAC2
9204,YY1,HDAC3
9205,YY1,HIF1A
9208,YY1,HOXB7
9227,YY1,MYC
9228,YY1,MYC
9229,YY1,MYC
9234,YY1,PARP1
9251,YY1,TFAP2A
9256,YY1,TP53
9257,YY1,TP53
9258,YY1,TP53
9283,ZBTB2,TP53
9287,ZBTB7A,MYC
9291,ZEB1,AR
9318,ZFP36,HIF1A
9319,ZFP36,HIF1A
9329,ZHX2,HNF1A
9335,ZIC2,TCF4
9359,ZNF224,VDR
9371,ZNF300,MYC
9374,ZNF350,HMGA2
9378,ZNF382,HMGA2
9381,ZNF382,JUN
9383,ZNF382,MYC
9384,ZNF382,NFKB1
9385,ZNF382,STAT3
9387,ZNF383,JUN
9389,ZNF423,BRCA1
